,title,links,song_lyric,artist
64,keep it together,http://www.lyrics.com/lyric/35470150/Madonna/Keep+It+Together,NaN,1
65,vogue,http://www.lyrics.com/lyric/35470133/Madonna/Vogue,NaN,1
66,rain,http://www.lyrics.com/lyric/35470132/Madonna/Rain,NaN,1
67,why's it so hard,http://www.lyrics.com/lyric/35470129/Madonna/Why%27s+It+So+Hard,NaN,1
68,in this life,http://www.lyrics.com/lyric/35470128/Madonna/In+This+Life,NaN,1
69,i'm going bananas,http://www.lyrics.com/lyric/35470124/Madonna/I%27m+Going+Bananas,NaN,1
70,waiting for tonight,http://www.lyrics.com/lyric/33451917/Madonna/Waiting+for+Tonight,NaN,1
71,sooner or later ,http://www.lyrics.com/lyric/32524467/Madonna/Sooner+or+Later+%5BFrom+Dick+Tracy%5D,NaN,1
72,the beast within,http://www.lyrics.com/lyric/33463210/Madonna/The+Beast+Within,NaN,1
73,justify my love,http://www.lyrics.com/lyric/33463200/Madonna/Justify+My+Love,NaN,1
74,hold tight,http://www.lyrics.com/lyric/31699009/Madonna/Hold+Tight,NaN,1
75,joan of arc,http://www.lyrics.com/lyric/31699008/Madonna/Joan+of+Arc,NaN,1
76,ghosttown,http://www.lyrics.com/lyric/31799423/Madonna/Ghosttown,NaN,1
77,unapologetic b****,http://www.lyrics.com/lyric/31819782/Madonna/Unapologetic+B%2A%2A%2A%2A,NaN,1
78,illuminati,http://www.lyrics.com/lyric/31819781/Madonna/Illuminati,NaN,1
79,b**** i'm madonna,http://www.lyrics.com/lyric/31819780/Madonna/B%2A%2A%2A%2A+I%27m+Madonna,NaN,1
80,heartbreak city,http://www.lyrics.com/lyric/31799416/Madonna/Heartbreak+City,NaN,1
81,holy water,http://www.lyrics.com/lyric/31799414/Madonna/Holy+Water,NaN,1
82,inside out,http://www.lyrics.com/lyric/31799413/Madonna/Inside+Out,NaN,1
83,wash all over me,http://www.lyrics.com/lyric/31799412/Madonna/Wash+All+Over+Me,NaN,1
84,best night,http://www.lyrics.com/lyric/31799411/Madonna/Best+Night,NaN,1
85,veni vidi vici,http://www.lyrics.com/lyric/31799410/Madonna/Veni+Vidi+Vici,NaN,1
86,s.e.x.,http://www.lyrics.com/lyric/31799409/Madonna/S.E.X.,NaN,1
87,messiah,http://www.lyrics.com/lyric/36093334/Madonna/Messiah,NaN,1
88,beautiful scars,http://www.lyrics.com/lyric/36093353/Madonna/Beautiful+Scars,NaN,1
89,addicted,http://www.lyrics.com/lyric/36093355/Madonna/Addicted,NaN,1
90,best night ,http://www.lyrics.com/lyric/31735240/Madonna/Best+Night+%5B%2A%5D,NaN,1
91,veni vidi vici ,http://www.lyrics.com/lyric/31735239/Madonna/Veni+Vidi+Vici+%5B%2A%5D,NaN,1
92,s.e.x. ,http://www.lyrics.com/lyric/31735238/Madonna/S.E.X.+%5B%2A%5D,NaN,1
93,messiah ,http://www.lyrics.com/lyric/31735237/Madonna/Messiah+%5B%2A%5D,NaN,1
94,rebel heart ,http://www.lyrics.com/lyric/31735236/Madonna/Rebel+Heart+%5B%2A%5D,NaN,1
95,borrowed time,http://www.lyrics.com/lyric/31756552/Madonna/Borrowed+Time,NaN,1
96,graffiti heart,http://www.lyrics.com/lyric/31756550/Madonna/Graffiti+Heart,NaN,1
97,living for love ,http://www.lyrics.com/lyric/31756549/Madonna/Living+for+Love+%5BPaulo+%26+Jackinsky+Full+Vocal+Mix%5D,NaN,1
98,santa baby,http://www.lyrics.com/lyric/33082488/Madonna/Santa+Baby,NaN,1
99,girl gone wild,http://www.lyrics.com/lyric/28777646/Madonna/Girl+Gone+Wild,NaN,1
100,me against the music,http://www.lyrics.com/lyric/28903996/Madonna/Me+Against+the+Music,NaN,1
101,me against the music ,http://www.lyrics.com/lyric/28903984/Madonna/Me+Against+the+Music+%5BRishi+Rich%27s+Desi+Kulcha+Remix%5D,NaN,1
102,revolver,http://www.lyrics.com/lyric/30946764/Madonna/Revolver,NaN,1
103,gang bang,http://www.lyrics.com/lyric/30946763/Madonna/Gang+Bang,NaN,1
104,hung up,http://www.lyrics.com/lyric/30946761/Madonna/Hung+Up,NaN,1
105,i don't give a,http://www.lyrics.com/lyric/30946760/Madonna/I+Don%27t+Give+A,NaN,1
106,give me all your luvin',http://www.lyrics.com/lyric/30946757/Madonna/Give+Me+All+Your+Luvin%27,NaN,1
107,turn up the radio,http://www.lyrics.com/lyric/30946756/Madonna/Turn+Up+the+Radio,NaN,1
108,masterpiece,http://www.lyrics.com/lyric/30946754/Madonna/Masterpiece,NaN,1
109,justify my love ,http://www.lyrics.com/lyric/30946753/Madonna/Justify+My+Love+%28Video+Interlude%29,NaN,1
110,human nature,http://www.lyrics.com/lyric/30946750/Madonna/Human+Nature,NaN,1
111,love spent,http://www.lyrics.com/lyric/30946748/Madonna/Love+Spent,NaN,1
112,nobody knows me ,http://www.lyrics.com/lyric/30946747/Madonna/Nobody+Knows+Me+%28Video+Interlude%29,NaN,1
113,i'm addicted,http://www.lyrics.com/lyric/30946746/Madonna/I%27m+Addicted,NaN,1
114,i'm a sinner,http://www.lyrics.com/lyric/30946745/Madonna/I%27m+a+Sinner,NaN,1
115,celebration,http://www.lyrics.com/lyric/30946743/Madonna/Celebration,NaN,1
116,america ,http://www.lyrics.com/lyric/29144735/Madonna/America+%28My+Country+%27tis+of+Thee%29+%5BIn+the+Style+of+Traditional%5D+%5BPerfor,NaN,1
117,american pie ,http://www.lyrics.com/lyric/29146101/Madonna/American+Pie+%5BIn+the+Style+of+Madonna%5D+%5BPerformance+Track+with+Demonstr,NaN,1
118,american woman ,http://www.lyrics.com/lyric/29113391/Madonna/American+Woman+%5BIn+the+Style+of+the+Guess+Who%5D+%5BPerformance+Track+with,NaN,1
119,die another day,http://www.lyrics.com/lyric/31758450/Madonna/Die+Another+Day,NaN,1
120,give me all your luvin' ,http://www.lyrics.com/lyric/28630882/Madonna/Give+Me+All+Your+Luvin%27+%5BRadio+Edit%5D+%5BEdit%5D,NaN,1
121,girl gone wild ,http://www.lyrics.com/lyric/26785726/Madonna/Girl+Gone+Wild+%5BAlbum+Version%5D+%5BVersion%5D,NaN,1
122,give me all your luvin’,http://www.lyrics.com/lyric/26891035/Madonna/Give+Me+All+Your+Luvin%E2%80%99,NaN,1
123,in america ,http://www.lyrics.com/lyric/29144646/Madonna/In+America+%5BPerformance+Track+with+Demonstration+Vocals%5D+%5BIn+the+Style,NaN,1
124,beautiful killer,http://www.lyrics.com/lyric/35446707/Madonna/Beautiful+Killer,NaN,1
125,best friend,http://www.lyrics.com/lyric/35446706/Madonna/Best+Friend,NaN,1
126,i’m a sinner,http://www.lyrics.com/lyric/35446705/Madonna/I%E2%80%99m+A+Sinner,NaN,1
127,some girls,http://www.lyrics.com/lyric/35446703/Madonna/Some+Girls,NaN,1
128,some girls ,http://www.lyrics.com/lyric/26904003/Madonna/Some+Girls+%5BEdited+Version%5D,NaN,1
129,superstar,http://www.lyrics.com/lyric/35446702/Madonna/Superstar,NaN,1
130,i f**ked up,http://www.lyrics.com/lyric/27943251/Madonna/I+F%2A%2Aked+Up,NaN,1
131,falling free,http://www.lyrics.com/lyric/26230688/Madonna/Falling+Free,NaN,1
132,b-day song,http://www.lyrics.com/lyric/26230679/Madonna/B-Day+Song,NaN,1
133,i fucked up,http://www.lyrics.com/lyric/26272491/Madonna/I+Fucked+Up,NaN,1
134,jimmy jimmy,http://www.lyrics.com/lyric/27964717/Madonna/Jimmy+Jimmy,NaN,1
135,love makes the world go round,http://www.lyrics.com/lyric/27964716/Madonna/Love+Makes+the+World+Go+Round,NaN,1
136,la isla bonita ,http://www.lyrics.com/lyric/27964714/Madonna/La+Isla+Bonita+%5BExtended+Remix%5D,NaN,1
137,love song,http://www.lyrics.com/lyric/27964711/Madonna/Love+Song,NaN,1
138,till death do us part,http://www.lyrics.com/lyric/27964710/Madonna/Till+Death+Do+Us+Part,NaN,1
139,promise to try,http://www.lyrics.com/lyric/27964709/Madonna/Promise+to+Try,NaN,1
140,dear jessie,http://www.lyrics.com/lyric/27964707/Madonna/Dear+Jessie,NaN,1
141,pray for spanish eyes,http://www.lyrics.com/lyric/27964704/Madonna/Pray+for+Spanish+Eyes,NaN,1
142,act of contrition,http://www.lyrics.com/lyric/27964703/Madonna/Act+of+Contrition,NaN,1
143,drowned world/substitute for love,http://www.lyrics.com/lyric/27964702/Madonna/Drowned+World-Substitute+for+Love,NaN,1
144,swim,http://www.lyrics.com/lyric/27964701/Madonna/Swim,NaN,1
145,ray of light,http://www.lyrics.com/lyric/27964700/Madonna/Ray+of+Light,NaN,1
146,candy perfume girl,http://www.lyrics.com/lyric/27964699/Madonna/Candy+Perfume+Girl,NaN,1
147,skin,http://www.lyrics.com/lyric/27964698/Madonna/Skin,NaN,1
148,nothing really matters,http://www.lyrics.com/lyric/27964697/Madonna/Nothing+Really+Matters,NaN,1
149,sky fits heaven,http://www.lyrics.com/lyric/27964696/Madonna/Sky+Fits+Heaven,NaN,1
150,shanti/ashtangi,http://www.lyrics.com/lyric/27964695/Madonna/Shanti-Ashtangi,NaN,1
151,frozen,http://www.lyrics.com/lyric/27964694/Madonna/Frozen,NaN,1
152,the power of good-bye,http://www.lyrics.com/lyric/27964693/Madonna/The+Power+of+Good-Bye,NaN,1
153,to have and not to hold,http://www.lyrics.com/lyric/27964692/Madonna/To+Have+and+Not+to+Hold,NaN,1
154,little star,http://www.lyrics.com/lyric/27964691/Madonna/Little+Star,NaN,1
155,mer girl,http://www.lyrics.com/lyric/27964690/Madonna/Mer+Girl,NaN,1
156,impressive instant,http://www.lyrics.com/lyric/27964688/Madonna/Impressive+Instant,NaN,1
157,runaway lover,http://www.lyrics.com/lyric/27964687/Madonna/Runaway+Lover,NaN,1
158,i deserve it,http://www.lyrics.com/lyric/27964686/Madonna/I+Deserve+It,NaN,1
159,amazing,http://www.lyrics.com/lyric/27964685/Madonna/Amazing,NaN,1
160,nobody's perfect,http://www.lyrics.com/lyric/27964684/Madonna/Nobody%27s+Perfect,NaN,1
161,don't tell me,http://www.lyrics.com/lyric/27964683/Madonna/Don%27t+Tell+Me,NaN,1
162,what it feels like for a girl,http://www.lyrics.com/lyric/27964682/Madonna/What+It+Feels+Like+for+a+Girl,NaN,1
163,paradise ,http://www.lyrics.com/lyric/27964681/Madonna/Paradise+%28Not+for+Me%29,NaN,1
164,gone,http://www.lyrics.com/lyric/27964680/Madonna/Gone,NaN,1
165,get together,http://www.lyrics.com/lyric/27964668/Madonna/Get+Together,NaN,1
166,sorry,http://www.lyrics.com/lyric/27964679/Madonna/Sorry,NaN,1
167,future lovers,http://www.lyrics.com/lyric/27964678/Madonna/Future+Lovers,NaN,1
168,i love new york,http://www.lyrics.com/lyric/27964677/Madonna/I+Love+New+York,NaN,1
